,x,y,z
0,0.0,0.07156626,0.07506529
1,0.0,0.10322117,0.102655284
2,0.033220038,0.1378664,0.13327658
3,0.0692027,0.17388216,0.15797238
4,0.10564567,0.21182144,0.1861316
5,0.13175553,0.24148656,0.21769883
6,0.15587674,0.27019492,0.25468397
7,0.18269031,0.29927438,0.2813642
8,0.21950963,0.32743037,0.3076818
9,0.25286028,0.34983575,0.34177068
10,0.279859,0.37166768,0.36992726
11,0.30655375,0.3936656,0.39711356
12,0.33930436,0.42020226,0.4231013
13,0.37999186,0.4465725,0.44660804
14,0.4218009,0.46799225,0.46791518
15,0.45482156,0.48376566,0.49210587
16,0.4873006,0.50033724,0.5105626
17,0.5159908,0.51426107,0.52781737
18,0.53561664,0.52083665,0.5395036
19,0.54768264,0.53494364,0.5501999
20,0.5648301,0.56786984,0.5638095
21,0.5969561,0.5968669,0.59095895
22,0.62614506,0.6156957,0.61425525
23,0.63805383,0.63153887,0.62951374
24,1.0,1.0,1.0
25,0.63711184,0.62124693,0.63585293
26,0.61842996,0.60229486,0.6229662
27,0.5849588,0.5827338,0.59979075
28,0.54925644,0.5536457,0.5726576
29,0.5134622,0.5232764,0.5397421
30,0.47043097,0.49279064,0.49976382
31,0.42601472,0.46167183,0.46834734
32,0.39662263,0.42643145,0.44321623
33,0.37489542,0.39220053,0.4191393
34,0.35319242,0.35679656,0.3864055
35,0.33250976,0.32361293,0.36118242
36,0.3146797,0.29323342,0.33737883
37,0.29581943,0.25552076,0.31219357
38,0.27415276,0.21735036,0.2817882
39,0.2558056,0.18034598,0.2514157
40,0.23104909,0.14140688,0.22034755
41,0.2061725,0.10308895,0.18754126
42,0.17603424,0.06537616,0.15742593
43,0.14495888,0.030304551,0.12584063
44,0.109367065,6.28568e-05,0.09330246
45,0.06960256,0.0,0.062266733
46,0.031842843,0.01980222,0.039316546
47,0.008230752,0.04220411,0.049742937
